home_score,away_score,away_name,home_name,winner_name,match_status,pairing
2,1,Romania,France,France,ended,France-Romania
0,1,Switzerland,Albania,Switzerland,ended,Albania-Switzerland
2,1,Slovakia,Wales,Wales,ended,Wales-Slovakia
1,1,Russia,England,NULL,ended,England-Russia
0,1,Croatia,Turkiye,Croatia,ended,Turkiye-Croatia
1,0,Northern Ireland,Poland,Poland,ended,Poland-Northern Ireland
2,0,Ukraine,Germany,Germany,ended,Germany-Ukraine
1,0,Czechia,Spain,Spain,ended,Spain-Czechia
1,1,Sweden,Ireland,NULL,ended,Ireland-Sweden
0,2,Italy,Belgium,Italy,ended,Belgium-Italy
0,2,Hungary,Austria,Hungary,ended,Austria-Hungary
1,1,Iceland,Portugal,NULL,ended,Portugal-Iceland
1,2,Slovakia,Russia,Slovakia,ended,Russia-Slovakia
1,1,Switzerland,Romania,NULL,ended,Romania-Switzerland
2,0,Albania,France,France,ended,France-Albania
2,1,Wales,England,England,ended,England-Wales
0,2,Northern Ireland,Ukraine,Northern Ireland,ended,Ukraine-Northern Ireland
0,0,Poland,Germany,NULL,ended,Germany-Poland
1,0,Sweden,Italy,Italy,ended,Italy-Sweden
2,2,Croatia,Czechia,NULL,ended,Czechia-Croatia
3,0,Turkiye,Spain,Spain,ended,Spain-Turkiye
3,0,Ireland,Belgium,Belgium,ended,Belgium-Ireland
1,1,Hungary,Iceland,NULL,ended,Iceland-Hungary
0,0,Austria,Portugal,NULL,ended,Portugal-Austria
0,0,France,Switzerland,NULL,ended,Switzerland-France
0,1,Albania,Romania,Albania,ended,Romania-Albania
0,0,England,Slovakia,NULL,ended,Slovakia-England
0,3,Wales,Russia,Wales,ended,Russia-Wales
0,1,Poland,Ukraine,Poland,ended,Ukraine-Poland
0,1,Germany,Northern Ireland,Germany,ended,Northern Ireland-Germany
2,1,Spain,Croatia,Croatia,ended,Croatia-Spain
0,2,Turkiye,Czechia,Turkiye,ended,Czechia-Turkiye
3,3,Portugal,Hungary,NULL,ended,Hungary-Portugal
2,1,Austria,Iceland,Iceland,ended,Iceland-Austria
0,1,Ireland,Italy,Ireland,ended,Italy-Ireland
0,1,Belgium,Sweden,Belgium,ended,Sweden-Belgium
1,1,Poland,Switzerland,Poland,ap,Switzerland-Poland
1,0,Northern Ireland,Wales,Wales,ended,Wales-Northern Ireland
0,1,Portugal,Croatia,Portugal,aet,Croatia-Portugal
2,1,Ireland,France,France,ended,France-Ireland
3,0,Slovakia,Germany,Germany,ended,Germany-Slovakia
0,4,Belgium,Hungary,Belgium,ended,Hungary-Belgium
2,0,Spain,Italy,Italy,ended,Italy-Spain
1,2,Iceland,England,Iceland,ended,England-Iceland
1,1,Portugal,Poland,Portugal,ap,Poland-Portugal
3,1,Belgium,Wales,Wales,ended,Wales-Belgium
1,1,Italy,Germany,Germany,ap,Germany-Italy
5,2,Iceland,France,France,ended,France-Iceland
2,0,Wales,Portugal,Portugal,ended,Portugal-Wales
0,2,France,Germany,France,ended,Germany-France
1,0,France,Portugal,Portugal,aet,Portugal-France
0,3,Italy,Turkiye,Italy,ended,Turkiye-Italy
1,1,Switzerland,Wales,NULL,ended,Wales-Switzerland
0,1,Finland,Denmark,Finland,ended,Denmark-Finland
3,0,Russia,Belgium,Belgium,ended,Belgium-Russia
1,0,Croatia,England,England,ended,England-Croatia
3,1,North Macedonia,Austria,Austria,ended,Austria-North Macedonia
3,2,Ukraine,Netherlands,Netherlands,ended,Netherlands-Ukraine
0,2,Czechia,Scotland,Czechia,ended,Scotland-Czechia
1,2,Slovakia,Poland,Slovakia,ended,Poland-Slovakia
0,0,Sweden,Spain,NULL,ended,Spain-Sweden
0,3,Portugal,Hungary,Portugal,ended,Hungary-Portugal
1,0,Germany,France,France,ended,France-Germany
0,1,Russia,Finland,Russia,ended,Finland-Russia
0,2,Wales,Turkiye,Wales,ended,Turkiye-Wales
3,0,Switzerland,Italy,Italy,ended,Italy-Switzerland
2,1,North Macedonia,Ukraine,Ukraine,ended,Ukraine-North Macedonia
1,2,Belgium,Denmark,Belgium,ended,Denmark-Belgium
2,0,Austria,Netherlands,Netherlands,ended,Netherlands-Austria
1,0,Slovakia,Sweden,Sweden,ended,Sweden-Slovakia
1,1,Czechia,Croatia,NULL,ended,Croatia-Czechia
0,0,Scotland,England,NULL,ended,England-Scotland
1,1,France,Hungary,NULL,ended,Hungary-France
2,4,Germany,Portugal,Germany,ended,Portugal-Germany
1,1,Poland,Spain,NULL,ended,Spain-Poland
3,1,Turkiye,Switzerland,Switzerland,ended,Switzerland-Turkiye
1,0,Wales,Italy,Italy,ended,Italy-Wales
0,1,Austria,Ukraine,Austria,ended,Ukraine-Austria
0,3,Netherlands,North Macedonia,Netherlands,ended,North Macedonia-Netherlands
1,4,Denmark,Russia,Denmark,ended,Russia-Denmark
0,2,Belgium,Finland,Belgium,ended,Finland-Belgium
0,1,England,Czechia,England,ended,Czechia-England
3,1,Scotland,Croatia,Croatia,ended,Croatia-Scotland
3,2,Poland,Sweden,Sweden,ended,Sweden-Poland
0,5,Spain,Slovakia,Spain,ended,Slovakia-Spain
2,2,France,Portugal,NULL,ended,Portugal-France
2,2,Hungary,Germany,NULL,ended,Germany-Hungary
0,4,Denmark,Wales,Denmark,ended,Wales-Denmark
2,1,Austria,Italy,Italy,aet,Italy-Austria
0,2,Czechia,Netherlands,Czechia,ended,Netherlands-Czechia
1,0,Portugal,Belgium,Belgium,ended,Belgium-Portugal
3,5,Spain,Croatia,Spain,aet,Croatia-Spain
3,3,Switzerland,France,Switzerland,ap,France-Switzerland
2,0,Germany,England,England,ended,England-Germany
1,2,Ukraine,Sweden,Ukraine,aet,Sweden-Ukraine
1,1,Spain,Switzerland,Spain,ap,Switzerland-Spain
1,2,Italy,Belgium,Italy,ended,Belgium-Italy
1,2,Denmark,Czechia,Denmark,ended,Czechia-Denmark
0,4,England,Ukraine,England,ended,Ukraine-England
1,1,Spain,Italy,Italy,ap,Italy-Spain
2,1,Denmark,England,England,aet,England-Denmark
1,1,England,Italy,Italy,ap,Italy-England
1,5,Scotland,Germany,Germany,ended,Germany-Scotland
3,1,Switzerland,Hungary,Switzerland,ended,Hungary-Switzerland
0,3,Croatia,Spain,Spain,ended,Spain-Croatia
1,2,Albania,Italy,Italy,ended,Italy-Albania
2,1,Netherlands,Poland,Netherlands,ended,Poland-Netherlands
1,1,Denmark,Slovenia,NULL,ended,Slovenia-Denmark
1,0,England,Serbia,England,ended,Serbia-England
0,3,Ukraine,Romania,Romania,ended,Romania-Ukraine
1,0,Slovakia,Belgium,Slovakia,ended,Belgium-Slovakia
1,0,France,Austria,France,ended,Austria-France
1,3,Georgia,Turkiye,Turkiye,ended,Turkiye-Georgia
1,2,Czechia,Portugal,Portugal,ended,Portugal-Czechia
2,2,Albania,Croatia,NULL,ended,Croatia-Albania
0,2,Hungary,Germany,Germany,ended,Germany-Hungary
1,1,Switzerland,Scotland,NULL,ended,Scotland-Switzerland
1,1,Serbia,Slovenia,NULL,ended,Slovenia-Serbia
1,1,England,Denmark,NULL,ended,Denmark-England
0,1,Italy,Spain,Spain,ended,Spain-Italy
2,1,Ukraine,Slovakia,Ukraine,ended,Slovakia-Ukraine
3,1,Austria,Poland,Austria,ended,Poland-Austria
0,0,France,Netherlands,NULL,ended,Netherlands-France
1,1,Czechia,Georgia,NULL,ended,Georgia-Czechia
3,0,Portugal,Turkiye,Portugal,ended,Turkiye-Portugal
0,2,Romania,Belgium,Belgium,ended,Belgium-Romania
1,1,Germany,Switzerland,NULL,ended,Switzerland-Germany
1,0,Hungary,Scotland,Hungary,ended,Scotland-Hungary
1,0,Spain,Albania,Spain,ended,Albania-Spain
1,1,Italy,Croatia,NULL,ended,Croatia-Italy
3,2,Austria,Netherlands,Austria,ended,Netherlands-Austria
1,1,Poland,France,NULL,ended,France-Poland
0,0,Slovenia,England,NULL,ended,England-Slovenia
0,0,Serbia,Denmark,NULL,ended,Denmark-Serbia
1,1,Romania,Slovakia,NULL,ended,Slovakia-Romania
0,0,Belgium,Ukraine,NULL,ended,Ukraine-Belgium
0,2,Portugal,Georgia,Georgia,ended,Georgia-Portugal
2,1,Turkiye,Czechia,Turkiye,ended,Czechia-Turkiye
2,0,Switzerland,Italy,Switzerland,ended,Switzerland-Italy
2,0,Germany,Denmark,Germany,ended,Germany-Denmark
2,1,England,Slovakia,England,aet,England-Slovakia
4,1,Spain,Georgia,Spain,ended,Spain-Geogia
1,0,France,Belgium,France,ended,France-Belgium
0,0,Portugal,Slovenia,Portugal,ap,Portugal-Slovenia
0,3,Romania,Netherlands,Netherlands,ended,Romania-Netherlands
1,2,Austria,Turkiye,Turkiye,ended,Austria-Turkiye
2,1,Spain,Germany,Spain,aet,Spain-Germany
0,0,Portugal,France,France,ap,Portugal-France
1,1,England,Switzerland,England,ap,England-Switzerland
2,1,Netherlands,Turkiye,Netherlands,ended,Netherlands-Turkiye
2,1,Spain,France,Spain,ended,Spain-France
1,2,Netherlands,England,England,ended,Netherlands-England
0,0,Spain,England,NULL,not_started,Spain-England